win,lose,probability
Boston Celtics,Philadelphia 76ers,0.9263282110632743
Portland Trail Blazers,Miami Heat,0.5736829579084999
Toronto Raptors,Atlanta Hawks,0.7309944846468768
Utah Jazz,Denver Nuggets,0.7011753274278666
Detroit Pistons,Orlando Magic,0.6940291568295407
Los Angeles Clippers,Indiana Pacers,0.7120680057802287
Sacramento Kings,New York Knicks,0.5413567279840985
Oklahoma City Thunder,New Orleans Pelicans,0.9218353374428436
Oklahoma City Thunder,Atlanta Hawks,0.5213028450330393
Washington Wizards,Brooklyn Nets,0.7896302886637939
Portland Trail Blazers,Chicago Bulls,0.6209584621941154
Charlotte Hornets,Dallas Mavericks,0.531687297212528
Golden State Warriors,Indiana Pacers,0.9196810898977898
Boston Celtics,Houston Rockets,0.5139336654013342
Utah Jazz,Los Angeles Lakers,0.8548338770768715
San Antonio Spurs,Milwaukee Bucks,0.856260743994729
Memphis Grizzlies,New Orleans Pelicans,0.5932027496716883
Denver Nuggets,Philadelphia 76ers,0.827498201582497
Toronto Raptors,Cleveland Cavaliers,0.5288271894060456
Detroit Pistons,Chicago Bulls,0.6068674388231582
Memphis Grizzlies,Philadelphia 76ers,0.8393427094556469
Miami Heat,New York Knicks,0.7934113840834807
San Antonio Spurs,Minnesota Timberwolves,0.8444134448537317
Utah Jazz,Phoenix Suns,0.7746358324635803
Washington Wizards,Orlando Magic,0.6603577842255334
Atlanta Hawks,Miami Heat,0.6205553854685367
Denver Nuggets,Brooklyn Nets,0.6802654645880248
Charlotte Hornets,Detroit Pistons,0.6993241310494986
Dallas Mavericks,Sacramento Kings,0.656703397577921
Houston Rockets,Los Angeles Lakers,0.8263883320064033
Golden State Warriors,Los Angeles Clippers,0.6178405521182727
Portland Trail Blazers,Milwaukee Bucks,0.7532860953727499
Cleveland Cavaliers,New York Knicks,0.8551727706991306
Boston Celtics,Orlando Magic,0.6338013784590519
Indiana Pacers,Phoenix Suns,0.7941816409142491
San Antonio Spurs,Chicago Bulls,0.7616917028602986
Portland Trail Blazers,Memphis Grizzlies,0.6860165494911762
New Orleans Pelicans,Philadelphia 76ers,0.7656386758500224
Toronto Raptors,Minnesota Timberwolves,0.8682474110467095
Golden State Warriors,Utah Jazz,0.7861049610312953
Washington Wizards,Denver Nuggets,0.7086677750506851
Boston Celtics,Toronto Raptors,0.5195367206595519
Charlotte Hornets,Orlando Magic,0.7727173384674243
Cleveland Cavaliers,Miami Heat,0.7993370262851767
Dallas Mavericks,Indiana Pacers,0.5072649844982932
Phoenix Suns,Los Angeles Lakers,0.6719727572831592
Atlanta Hawks,Milwaukee Bucks,0.684422634500296
Detroit Pistons,Minnesota Timberwolves,0.6010641564644117
Oklahoma City Thunder,Houston Rockets,0.8472238572964478
Sacramento Kings,New York Knicks,0.5576373530574387
Miami Heat,Chicago Bulls,0.5743391700955991
